Phoneme,Activation levels
lʲ,"[0.4692978  0.36020569 0.42648738 0.4338648  0.41784385 0.44473203
 0.44477239 0.16856547 0.39658866 0.49058668 0.43030262 0.3521151
 0.45181868 0.46271629 0.53002049 0.41072347 0.40008275 0.34485001
 0.32388401 0.3671067  0.40078817 0.46062389 0.47908133 0.40914692
 0.35320207 0.61186744 0.4049002  0.50506143 0.46433255 0.32907295
 0.43481747 0.45520235 0.35625876 0.31054518 0.44151283 0.37816888
 0.54967481 0.36899173 0.33513041 0.42189336 0.41574661 0.30000914
 0.50269974 0.43008155 0.43564693 0.39111166 0.38224771 0.42703079
 0.36287881 0.42605595 0.37410387 0.42016124 0.3357264  0.35929279
 0.64635857 0.4456284  0.52353359 0.46847583 0.36576514 0.37502568
 0.39027489 0.3084786  0.40151356 0.44132516 0.16425173 0.23478098
 0.36216556 0.40437689 0.2243786  0.50039674]"
r,"[0.47005465 0.35955807 0.42709595 0.43369519 0.41793039 0.44421793
 0.44503711 0.16626911 0.39749846 0.49092519 0.43028266 0.35394609
 0.45192778 0.46330861 0.52948937 0.40941342 0.40090425 0.34470094
 0.32518493 0.36618621 0.40136729 0.46134713 0.47893916 0.41002525
 0.35263776 0.61304673 0.40341761 0.50534962 0.4639332  0.32890796
 0.43989694 0.45553759 0.35700109 0.31123321 0.44268231 0.3793975
 0.55099188 0.36953659 0.33631979 0.42142946 0.41589359 0.3022326
 0.50311175 0.43087838 0.43492734 0.39141188 0.38131471 0.42549598
 0.3633537  0.43137083 0.37500736 0.42034613 0.33479855 0.35859573
 0.64624402 0.44772574 0.52297395 0.46871981 0.3665632  0.37486163
 0.39403999 0.31069445 0.4021063  0.44264508 0.16208987 0.23429562
 0.36212669 0.40457429 0.22663892 0.5004347 ]"
rʲ,"[0.47010129 0.3607412  0.42598572 0.43441342 0.4175862  0.44500131
 0.44422334 0.17102161 0.39587323 0.49126581 0.43053034 0.35097177
 0.45181696 0.46287302 0.52994648 0.4063366  0.39921273 0.34522429
 0.32316098 0.36767206 0.40018974 0.45961205 0.47907144 0.40842374
 0.35422228 0.61081863 0.40185914 0.50483062 0.46483326 0.3298734
 0.43108757 0.45560068 0.35622803 0.31599277 0.44034785 0.37909884
 0.54880777 0.36802906 0.33537375 0.4220489  0.41583495 0.29868167
 0.50146436 0.42919266 0.43143125 0.389288   0.38272236 0.42186765
 0.36209289 0.41964628 0.3740404  0.42034577 0.3372771  0.35983227
 0.64603912 0.44485242 0.52322726 0.46815936 0.36557631 0.37487364
 0.38818898 0.30630292 0.40159094 0.44048507 0.16633081 0.23511119
 0.36251034 0.40455576 0.22348543 0.50046763]"
k,"[0.46968154 0.36089534 0.4259896  0.43433254 0.41751215 0.44492405
 0.44441847 0.17122545 0.39585166 0.49093024 0.43055887 0.35076725
 0.45179184 0.46266125 0.53045391 0.4076553  0.39911467 0.34512469
 0.32298639 0.36776831 0.40021007 0.45966223 0.47911316 0.40836871
 0.35412205 0.61085256 0.40275677 0.50465658 0.46484667 0.32975311
 0.43074836 0.45546154 0.35594189 0.31464132 0.4402608  0.37787958
 0.54867144 0.36806482 0.33441705 0.42214018 0.41582935 0.2985109
 0.50154471 0.42927783 0.43252245 0.38957442 0.38304325 0.42339797
 0.36191683 0.4196661  0.37378883 0.4201894  0.33707607 0.3599788
 0.64617151 0.44423192 0.52380044 0.46806282 0.36540361 0.37472386
 0.38782768 0.30592489 0.40136584 0.44043445 0.16651434 0.23511819
 0.36237897 0.40463559 0.22290457 0.50072478]"
kʲ,"[0.46991437 0.36153339 0.42575654 0.43460354 0.4174956  0.44493545
 0.44425138 0.17179634 0.39584151 0.49098199 0.43035086 0.35055886
 0.45181465 0.46263007 0.53020603 0.40657966 0.39892475 0.3452267
 0.32266361 0.36784937 0.40002425 0.45958129 0.47903588 0.40821079
 0.35447222 0.61056268 0.40189847 0.50449392 0.4650213  0.32986746
 0.4304077  0.45540478 0.35586381 0.31604954 0.44014992 0.37772566
 0.54841989 0.36790527 0.33414861 0.42206155 0.4156034  0.29832806
 0.50142073 0.42919124 0.43148939 0.38923507 0.38320908 0.42213892
 0.3617659  0.41936811 0.37359837 0.419764   0.33749817 0.36058346
 0.64617745 0.44391391 0.52358164 0.46811469 0.36541691 0.37467346
 0.38769193 0.3056804  0.40093797 0.4400222  0.16694516 0.2352858
 0.36236465 0.40495543 0.22268477 0.50056876]"
g,"[0.46972357 0.36088005 0.42602112 0.43430954 0.4175765  0.44485869
 0.44456371 0.17102612 0.39602052 0.49093182 0.4305219  0.35085804
 0.45172754 0.46266821 0.53057649 0.40764419 0.39932088 0.34510971
 0.32306175 0.36773767 0.40036769 0.45972203 0.47914563 0.40837449
 0.3538966  0.6108803  0.40273875 0.50470941 0.46481715 0.32973724
 0.43107843 0.45545049 0.35599804 0.31458761 0.44036329 0.37813146
 0.54873682 0.36810709 0.3345162  0.42215814 0.41581975 0.29860206
 0.50168625 0.42930465 0.432559   0.38943842 0.3828345  0.42338174
 0.36198083 0.42002017 0.37395785 0.42014959 0.33682324 0.35995924
 0.64615906 0.4444193  0.52387056 0.46814631 0.36546244 0.37475295
 0.38802899 0.30611809 0.40134592 0.44038881 0.16632593 0.23510772
 0.36238513 0.40463314 0.22301088 0.50082601]"
gʲ,"[0.46978167 0.36113045 0.42622163 0.43417352 0.41769239 0.44469027
 0.44467646 0.16989153 0.39624875 0.49115532 0.4301078  0.35149357
 0.45184043 0.46281486 0.53003788 0.40791845 0.39960967 0.34502186
 0.32370035 0.3673957  0.40056356 0.46006487 0.47900359 0.40896883
 0.35368193 0.61121922 0.40287838 0.50503671 0.46466705 0.32955074
 0.43296462 0.45558584 0.35656983 0.3140353  0.44104934 0.37929228
 0.54915403 0.36834434 0.33518398 0.42202659 0.4159867  0.29936614
 0.5018813  0.42963102 0.4330551  0.38962159 0.38248051 0.42371864
 0.3622926  0.42201732 0.37440678 0.41958023 0.33643752 0.36017673
 0.64611945 0.44540511 0.52336028 0.46821158 0.36576554 0.37484239
 0.38970195 0.30702874 0.40096105 0.44063191 0.16530521 0.23496159
 0.36238064 0.40505605 0.22380932 0.50048981]"
x,"[0.4699645  0.36077929 0.42605291 0.43435808 0.41751958 0.44484175
 0.44452724 0.17086945 0.39607263 0.49101203 0.43060549 0.35109791
 0.45180178 0.46274765 0.53076975 0.40691397 0.39925309 0.34502979
 0.32317288 0.36755674 0.40033992 0.45977079 0.47912891 0.40840643
 0.35394488 0.6113495  0.40203703 0.5046276  0.46480055 0.32968546
 0.43163314 0.45555479 0.35608037 0.31529791 0.44044447 0.37805839
 0.54902853 0.3681183  0.33462784 0.42202413 0.41579829 0.2988916
 0.50161581 0.42941085 0.43192042 0.38950375 0.38284226 0.42250435
 0.36195924 0.4206045  0.3738769  0.42026047 0.33686905 0.35984206
 0.6461678  0.44463144 0.52406136 0.46810498 0.36553492 0.37466936
 0.38846961 0.30632777 0.40150251 0.4406094  0.16611283 0.23484524
 0.36236001 0.40467223 0.22326569 0.50109569]"
xʲ,"[0.46998363 0.3610178  0.42593343 0.43445814 0.41750443 0.44487167
 0.44444036 0.17121129 0.39601488 0.49098987 0.43055328 0.35091423
 0.45179339 0.46270569 0.53071567 0.40668045 0.39912159 0.3450687
 0.32297431 0.36764359 0.40022265 0.45970194 0.47910953 0.40830793
 0.35412035 0.61119567 0.40187267 0.50454507 0.46488639 0.32972929
 0.4312244  0.45550664 0.35598442 0.31567854 0.44033291 0.3778988
 0.5488666  0.36802654 0.33442235 0.42201955 0.41571117 0.29870062
 0.50154576 0.42933775 0.43165749 0.38936655 0.3829729  0.42223306
 0.36187578 0.42020623 0.37375319 0.42012102 0.33709069 0.36007502
 0.64617811 0.44436513 0.52402339 0.46809913 0.3654872  0.37465322
 0.38820736 0.30610249 0.40133912 0.44039045 0.16640049 0.23492616
 0.36235191 0.40476468 0.22305347 0.50103734]"
ɣ,"[0.46997064 0.36185772 0.42583115 0.43457868 0.41750988 0.44486504
 0.44461814 0.17146896 0.39601004 0.49109742 0.43012177 0.35073792
 0.45185314 0.46261762 0.53107726 0.406553   0.39909251 0.34500523
 0.32286236 0.3676623  0.40026756 0.45958891 0.47911786 0.40814299
 0.35405596 0.61120814 0.40175094 0.50451392 0.46495842 0.32965877
 0.43075926 0.45547111 0.35598003 0.31598534 0.44022329 0.37786798
 0.54870955 0.36788113 0.33430991 0.42210364 0.41578553 0.29848548
 0.50146281 0.42927087 0.43150671 0.38919194 0.38306316 0.42202449
 0.36178023 0.41950668 0.37370749 0.41931598 0.33703787 0.3608395
 0.64612243 0.44423674 0.52436071 0.46809505 0.36544164 0.37465492
 0.38788852 0.30581678 0.40052596 0.44021619 0.1665464  0.23488821
 0.36232019 0.40524166 0.22285081 0.50126391]"
