,O,p,pʲ,b,bʲ,f,fʲ,v,vʲ,m,mʲ,t,tʲ,d,dʲ,s,sʲ,n,nʲ,l,lʲ,r,rʲ,k,kʲ,g,gʲ,x,xʲ,ɣ,ɣʲ,ŋ,ŋʲ,h
dʲ,0.752679902160416,0.824370992275869,0.80052424621317,0.742794968620926,0.791227619774112,0.744453417151376,0.780736093407753,0.805264193700636,0.790276244520379,0.762416907253437,0.78450231231423,0.758701828792855,0.764120298058716,0.762671667011392,1.0,0.793924398653782,0.814032146725362,0.773532387555173,0.823523644045578,0.748589918511776,0.778420496083506,0.744753301555015,0.791873254669448,0.83244793933676,0.816891120714983,0.764496577617284,0.799420480506295,0.838899019662255,0.86180726703014,0.834630373572009,0.824328674233452,0.866205461156599,0.86293139973606,0.775975041191024
s,0.800018045612064,0.823020525651784,0.778119742190687,0.763703587352253,0.784588987441078,0.761047628104278,0.746465463242916,0.805879846937938,0.761111297286213,0.773228705923182,0.769940940904213,0.787742091502487,0.798789317589577,0.768041844023166,0.793924398653782,1.0,0.801452748566619,0.79277170322307,0.822189203625032,0.756016365364995,0.783743515929166,0.775103603697674,0.780871312442123,0.77283005957165,0.769850804566226,0.757003578296857,0.795105698622586,0.852553238677557,0.857943923855085,0.8262155746935,0.822309906438634,0.860949060280806,0.862494072397627,0.80762592502051
sʲ,0.779212080678761,0.851320456893419,0.782254570522018,0.772893606920843,0.786258476763687,0.784406357784985,0.757330667934987,0.815894697483466,0.764374473854911,0.756626874230562,0.756841499582518,0.759692884015913,0.792658314642667,0.778302139933192,0.814032146725362,0.801452748566619,1.0,0.792885338535244,0.845124671697468,0.778653020453452,0.795793092663846,0.752499541131865,0.831603040090165,0.829651058580028,0.78928229961382,0.768153035585712,0.82623650596777,0.87079932985872,0.880695813291942,0.852329964555773,0.83286786371077,0.885314285505791,0.883992625013971,0.801285453428488
n,0.788031225773544,0.808799975756742,0.769814303608065,0.779512720113707,0.766670895297187,0.754021869859772,0.759165027965806,0.761263198485714,0.730817381443314,0.757788023349527,0.74303144661329,0.762449367167309,0.73560780131678,0.748399338517782,0.773532387555173,0.79277170322307,0.792885338535244,1.0,0.80983914893859,0.736370452418583,0.750130968806732,0.759072087298313,0.787874718611267,0.736360650965175,0.756570068602118,0.723382657318254,0.788898233183109,0.828815488471694,0.834723072880501,0.8051626805807,0.791209574377782,0.835490881091366,0.837719123930255,0.730371687639761
nʲ,0.841448073103378,0.914682537372806,0.832702855393863,0.82948101333414,0.848229274162362,0.802316613214553,0.813609909798462,0.869359017668723,0.830045104123078,0.829894253144113,0.807188688954612,0.813145788449012,0.82591991447282,0.804028146748826,0.823523644045578,0.822189203625032,0.845124671697468,0.80983914893859,1.0,0.825205626539478,0.813211458514445,0.819223336617918,0.835572853861525,0.844859506798373,0.855323147925436,0.832237444238856,0.844540598078032,0.939763355875427,0.952440784821911,0.921409868337181,0.902363285719499,0.953417297965981,0.955733937378079,0.832312927177896
l,0.798761400308859,0.831679209802728,0.806009936487124,0.755389244044275,0.78683764378073,0.743035102516349,0.76944372044122,0.797759176881466,0.7895746826416,0.786134816454933,0.741112222411192,0.781408487135093,0.798656534367164,0.755927525666533,0.748589918511776,0.756016365364995,0.778653020453452,0.736370452418583,0.825205626539478,1.0,0.750031561403661,0.748210410047502,0.780701125024761,0.767736372731922,0.761368716636788,0.751687933085259,0.77236324686966,0.851573597847994,0.855490919584031,0.826473894745865,0.809742534328213,0.863274327806762,0.86146602295801,0.792253935260545
lʲ,0.743989889433947,0.817818551683569,0.792964908834167,0.751860442305436,0.760057793638726,0.730012749687476,0.735054588047689,0.773377897461999,0.733115783193783,0.750994904865841,0.75231583421435,0.732927874002833,0.776492360799792,0.761516757415358,0.778420496083506,0.783743515929166,0.795793092663846,0.750130968806732,0.813211458514445,0.750031561403661,1.0,0.754024629573824,0.76637502968168,0.785338177371421,0.765005316519997,0.747607120988676,0.760204688294268,0.86179088897498,0.839107841038002,0.79543869108316,0.805233629534662,0.839538625781449,0.846617484679371,0.759864760367215
r,0.7532707876022,0.824965058793724,0.77981917397484,0.783847222811663,0.784127076320463,0.751292859060566,0.725678885520004,0.801087312014057,0.73322084649179,0.777199411257164,0.719470919969215,0.764529939503736,0.752721037634177,0.7542975622788,0.744753301555015,0.775103603697674,0.752499541131865,0.759072087298313,0.819223336617918,0.748210410047502,0.754024629573824,1.0,0.747552590496343,0.777181947512072,0.783992798234641,0.774832259393888,0.75008034171206,0.824739254392886,0.857106798154448,0.80088425649441,0.795092676578485,0.848306226854968,0.848160152819503,0.807107443020236
rʲ,0.824204254552599,0.831387114988824,0.768000956793713,0.802052116368943,0.810218933267088,0.779609060022047,0.77788844948396,0.821885848859574,0.751628067201028,0.774929455700005,0.75030204451728,0.793090050064131,0.791921983554149,0.762460730616032,0.791873254669448,0.780871312442123,0.831603040090165,0.787874718611267,0.835572853861525,0.780701125024761,0.76637502968168,0.747552590496343,1.0,0.809226031738866,0.783059415983284,0.758352685956755,0.772742968553134,0.853917909637465,0.874148666798679,0.835233013374702,0.822191561804552,0.871915763620486,0.872810839541985,0.78037987153815
k,0.784559302169493,0.836698686862639,0.781130341526438,0.767221472230242,0.807634926892797,0.777684740134829,0.748751370011491,0.830187424783697,0.801202675744038,0.777432980845074,0.780478304034064,0.784023206075861,0.788758913071136,0.782014778697393,0.83244793933676,0.77283005957165,0.829651058580028,0.736360650965175,0.844859506798373,0.767736372731922,0.785338177371421,0.777181947512072,0.809226031738866,1.0,0.812822223708093,0.778719588052862,0.805289051735733,0.858843104235089,0.876611970486001,0.857227243046687,0.822399868010303,0.878652825783041,0.876436203298965,0.787793080825499
