,O,p,pʲ,b,bʲ,f,fʲ,v,vʲ,m,mʲ,t,tʲ,d,dʲ,s,sʲ,n,nʲ,l,lʲ,r,rʲ,k,kʲ,g,gʲ,x,xʲ,ɣ,ɣʲ,ŋ,ŋʲ,h
l,0.994879818314342,0.994394812400809,0.994322561880317,0.994564288815473,0.993535169987449,0.994882625644984,0.994808021317386,0.995080579926773,0.994839092129854,0.994804768697584,0.99280298945484,0.995722964048431,0.994537050921279,0.99483622713344,0.994606858894711,0.993771833593442,0.994503405998612,0.993717181858494,0.995110225017635,1.0,0.995491007060711,0.995444541352308,0.995411917136375,0.99557051116413,0.996335730701698,0.994264133940536,0.995287869088087,0.99621683960537,0.996467718214275,0.994426322722821,0.995086484491195,0.996318323419571,0.996283910295839,0.99434859720369
lʲ,0.995513600506678,0.99592582665568,0.996078304229963,0.996224281088738,0.995337515236213,0.996100673007661,0.996123734746651,0.997438998930727,0.996367358966138,0.996323382787526,0.994866890002059,0.996085977782924,0.996412814572732,0.994783609531818,0.995951465231706,0.994724119277554,0.995870931696393,0.995083689940593,0.995625346601453,0.995491007060711,1.0,0.994576021518837,0.995651665304434,0.995880256459405,0.996449310993972,0.994984498514519,0.996069164918216,0.996756480655947,0.997668032178346,0.997051456177171,0.996951079431995,0.997647170406948,0.997552505636608,0.995669285855354
r,0.994343372136659,0.994477559787625,0.994962323675881,0.993836499112355,0.995224833106672,0.995704090121115,0.995298744980577,0.994975934350433,0.994931526599468,0.995228547591538,0.994355360104864,0.994961007202874,0.995524901314898,0.995274012524811,0.996704248134107,0.995456178397463,0.994864918283628,0.994302838854647,0.994422272551976,0.995444541352308,0.994576021518837,1.0,0.996169579718738,0.995672282114039,0.996382579615338,0.994745409023924,0.9941503595552,0.995787729784332,0.996481225534707,0.994777750514406,0.995498616187065,0.996152054303095,0.995983273129947,0.994858617102312
rʲ,0.995253376070383,0.994870818253058,0.995394157611096,0.99484392524679,0.99539927085702,0.995343893274913,0.995422849502258,0.995077345588246,0.996383851315182,0.996366128456144,0.994850200069536,0.995404403744124,0.995689584267495,0.996451243459601,0.996690088203672,0.994460784017796,0.996136015628773,0.995114607617276,0.995885186669282,0.995411917136375,0.995651665304434,0.996169579718738,1.0,0.995602419886723,0.997333278971904,0.994609400372944,0.995090332619772,0.996973999732047,0.99775532198572,0.995901949019897,0.996510917625075,0.99702379370126,0.99712037615049,0.995887320884787
k,0.995209255704124,0.996038350040444,0.995799759385717,0.995216822278914,0.995530692441948,0.996423755540817,0.997302082645136,0.995270461185194,0.996399987932525,0.995982244792219,0.993493813005345,0.996219272694144,0.995479930425956,0.995423858712292,0.996475397458273,0.994481419003036,0.995345504017871,0.995121311017045,0.996026792678048,0.99557051116413,0.995880256459405,0.995672282114039,0.995602419886723,1.0,0.996198777333408,0.994888774810052,0.996057283075028,0.998529234539525,0.997684880435886,0.995841168069835,0.996776525871784,0.997800564341392,0.997950511881172,0.995808947493052
kʲ,0.996026119690743,0.995617504661179,0.995988557890762,0.995742979623759,0.995996278586599,0.996644792314612,0.996279648316991,0.995621954671152,0.997080249643214,0.996623406120319,0.995633019933612,0.995220205805173,0.99557082089086,0.996326140151601,0.996112576421618,0.995402639571556,0.995572000749609,0.996008104247271,0.996233399108172,0.996335730701698,0.996449310993972,0.996382579615338,0.997333278971904,0.996198777333408,1.0,0.995853927210819,0.995326622054232,0.997428395187588,0.99854712673896,0.997077080494702,0.99672877729661,0.99814506608802,0.99776189210136,0.996465370619489
g,0.99526285415101,0.995362097450887,0.996285537375961,0.994763703305359,0.99467521154509,0.996361558236737,0.996639587538256,0.994267729341888,0.99517451272503,0.995696683892333,0.99396408713777,0.995547611331107,0.99393292424196,0.995592312534443,0.994520032665132,0.994146539854809,0.99346692863134,0.995451701859048,0.995274082358063,0.994264133940536,0.994984498514519,0.994745409023924,0.994609400372944,0.994888774810052,0.995853927210819,1.0,0.995745260533948,0.995642315770846,0.99644848172897,0.996353377181069,0.996070414833088,0.997166355464516,0.996671855276569,0.995400924984566
gʲ,0.995516747807778,0.995753243821893,0.997135233051584,0.996450039321631,0.994288432207649,0.99543318625753,0.9962143736085,0.996335157947325,0.996502405481274,0.995396620350105,0.993287583977868,0.996119256478022,0.995055712289166,0.995153797290227,0.995788211888718,0.994235355960993,0.994727111881139,0.994964654614148,0.995015661355375,0.995287869088087,0.996069164918216,0.9941503595552,0.995090332619772,0.996057283075028,0.995326622054232,0.995745260533948,1.0,0.996983645142643,0.997110665690197,0.996193023924935,0.99707565966323,0.997446870979187,0.997831583455339,0.995822508216749
x,0.995717371871494,0.996881883305256,0.996593579056984,0.99628765372677,0.995669839631465,0.997096351343208,0.997222403446031,0.996516449527968,0.997212798227764,0.996502871320738,0.994669016708993,0.996819825997129,0.997073709960344,0.996429958643563,0.997158637270482,0.99581000901074,0.995580437008308,0.996702613781091,0.99642114908888,0.99621683960537,0.996756480655947,0.995787729784332,0.996973999732047,0.998529234539525,0.997428395187588,0.995642315770846,0.996983645142643,1.0,0.99902251627922,0.997345528613099,0.998002357587297,0.999225546760047,0.999314498727691,0.99710878419484
xʲ,0.997441172913448,0.99722769566269,0.997950941256412,0.997059149442093,0.996645636123543,0.99764625460252,0.997729506129778,0.997105184279618,0.997970621044252,0.996631467496224,0.996022311329671,0.996596358436102,0.997327280123196,0.996676457568314,0.997549486401068,0.996330707805711,0.996137447072916,0.997345201457329,0.996558045308823,0.996467718214275,0.997668032178346,0.996481225534707,0.99775532198572,0.997684880435886,0.99854712673896,0.99644848172897,0.997110665690197,0.99902251627922,1.0,0.998104392085224,0.998151485999404,0.999591433093182,0.999561778009413,0.997361652848696
ɣ,0.996212634370819,0.99687537302199,0.9972414750485,0.996343212993282,0.995812760400067,0.996502702324234,0.997051211309657,0.994899200582811,0.996117350133938,0.996248278425664,0.995273590291934,0.99595898032598,0.995765114964386,0.99583414069781,0.996371672403019,0.996397556134936,0.994468014652132,0.995812137915402,0.994802877877362,0.994426322722821,0.997051456177171,0.994777750514406,0.995901949019897,0.995841168069835,0.997077080494702,0.996353377181069,0.996193023924935,0.997345528613099,0.998104392085224,1.0,0.996692965586991,0.998738310553449,0.998097918056342,0.996397634112138
ɣʲ,0.995592566689337,0.995996531691465,0.997238087167627,0.995464054092432,0.995286769778738,0.996182112055861,0.996235571634484,0.997265149827575,0.996785074243358,0.996141147655599,0.994790470559088,0.99606967397301,0.99680530432367,0.995894935920545,0.996814650016433,0.995411156080876,0.995189513937169,0.995577634338126,0.995610604497115,0.995086484491195,0.996951079431995,0.995498616187065,0.996510917625075,0.996776525871784,0.99672877729661,0.996070414833088,0.99707565966323,0.998002357587297,0.998151485999404,0.996692965586991,1.0,0.998299861868052,0.99888472976607,0.9969694965711
ŋ,0.997397410356625,0.997476864887197,0.997994271817977,0.997224566233753,0.996659411165673,0.997818484626368,0.998105325269608,0.996983797255953,0.997592589337545,0.997060925924035,0.995726639905337,0.99705229748939,0.997230644135384,0.996451729764795,0.997454820877091,0.99668069673063,0.995919164593256,0.997454289543504,0.996252091745548,0.996318323419571,0.997647170406948,0.996152054303095,0.99702379370126,0.997800564341392,0.99814506608802,0.997166355464516,0.997446870979187,0.999225546760047,0.999591433093182,0.998738310553449,0.998299861868052,1.0,0.999738710364223,0.997663417530338
ŋʲ,0.997275464821273,0.99736488110251,0.998045619706119,0.99703190115232,0.996325335922621,0.997533765931551,0.997803321856922,0.997299991604912,0.997687905471645,0.996785936630997,0.995643766034316,0.996990349405758,0.997276731892988,0.996652315007705,0.997613790327089,0.9962394336908,0.995879148403309,0.997279449381002,0.996318096891626,0.996283910295839,0.997552505636608,0.995983273129947,0.99712037615049,0.997950511881172,0.99776189210136,0.996671855276569,0.997831583455339,0.999314498727691,0.999561778009413,0.998097918056342,0.99888472976607,0.999738710364223,1.0,0.99784742695562
h,0.995901251727797,0.995854178977782,0.996024520738741,0.995984120142617,0.995381299555984,0.996638521364775,0.995878224572015,0.995324390650892,0.9965170477758,0.995249098713873,0.993876458384723,0.996186564050942,0.996697421213514,0.996118080250454,0.995901876685562,0.995246676213219,0.995048141798152,0.995502006408109,0.994664876617486,0.99434859720369,0.995669285855354,0.994858617102312,0.995887320884787,0.995808947493052,0.996465370619489,0.995400924984566,0.995822508216749,0.99710878419484,0.997361652848696,0.996397634112138,0.9969694965711,0.997663417530338,0.99784742695562,1.0
