translation,initial phoneme,case,0
job,f,DAT,2
job,f,GEN,1
job,p,DAT,1
job,p,GEN,2
job,p,NOM,4
knot,O,DAT,2
knot,O,NOM,1
knot,f,DAT,1
knot,f,GEN,3
knot,f,NOM,3
knot,v,DAT,1
knot,v,GEN,1
language,dʲ,GEN,1
language,h,DAT,2
language,tʲ,DAT,2
language,tʲ,GEN,3
language,tʲ,NOM,4
license,gʲ,DAT,1
license,gʲ,GEN,1
license,kʲ,DAT,1
license,kʲ,GEN,2
license,kʲ,NOM,4
license,xʲ,DAT,2
license,xʲ,GEN,1
lighter,lʲ,DAT,4
lighter,lʲ,GEN,4
lighter,lʲ,NOM,4
mouse,l,DAT,4
mouse,l,GEN,4
mouse,l,NOM,4
nervous system,nʲ,DAT,4
nervous system,nʲ,GEN,4
nervous system,nʲ,NOM,4
newspaper,n,DAT,4
newspaper,n,GEN,4
newspaper,n,NOM,4
pepper,bʲ,DAT,1
pepper,bʲ,GEN,1
pepper,fʲ,DAT,2
pepper,fʲ,GEN,1
pepper,pʲ,DAT,1
pepper,pʲ,GEN,2
pepper,pʲ,NOM,4
petal,bʲ,DAT,1
petal,bʲ,GEN,1
petal,fʲ,DAT,2
petal,fʲ,GEN,1
petal,pʲ,DAT,1
petal,pʲ,GEN,2
petal,pʲ,NOM,4
poem,d,DAT,2
poem,d,GEN,3
poem,d,NOM,4
poem,n,GEN,1
poem,ɣ,DAT,2
seal,r,DAT,4
seal,r,GEN,4
seal,r,NOM,4
shop,h,DAT,2
shop,sʲ,DAT,2
shop,sʲ,GEN,3
shop,sʲ,NOM,4
shop,tʲ,GEN,1
spasm,rʲ,DAT,4
spasm,rʲ,GEN,4
spasm,rʲ,NOM,4
star,rʲ,DAT,4
star,rʲ,GEN,4
star,rʲ,NOM,4
stud/boss,b,DAT,1
stud/boss,b,GEN,3
stud/boss,b,NOM,3
stud/boss,m,DAT,1
stud/boss,m,GEN,1
stud/boss,v,DAT,2
stud/boss,v,NOM,1
student,d,DAT,2
student,d,GEN,3
student,d,NOM,4
student,n,GEN,1
student,ɣ,DAT,2
tavern,d,GEN,1
tavern,h,DAT,2
tavern,t,DAT,2
tavern,t,GEN,3
tavern,t,NOM,4
tradition,n,DAT,4
tradition,n,GEN,4
tradition,n,NOM,4
washer (person),nʲ,DAT,4
washer (person),nʲ,GEN,4
washer (person),nʲ,NOM,4
window,O,DAT,2
window,O,NOM,1
window,f,DAT,1
window,f,GEN,3
window,f,NOM,3
window,v,DAT,1
window,v,GEN,1
