,O,p,pʲ,b,bʲ,f,fʲ,v,vʲ,m,mʲ,t,tʲ,d,dʲ,s,sʲ,n,nʲ,l,lʲ,r,rʲ,k,kʲ,g,gʲ,x,xʲ,ɣ,ɣʲ,ŋ,ŋʲ,h
mʲ,0.761977516422904,0.750357262673302,0.761141290349374,0.75303282934297,0.755293278790996,0.732631724971698,0.768184287541715,0.770506567923317,0.782990572761706,0.762220070178641,1.0,0.762838430342517,0.753050775259664,0.744015820218322,0.737506774973075,0.776671574129092,0.759556187715717,0.741264751228479,0.765258987670927,0.728573280605474,0.744216511166464,0.776736210699658,0.747993213891006,0.753688206539906,0.765184943764132,0.736901098630409,0.74820556251899,0.824736182731182,0.832412601142164,0.767463400085826,0.766602323408721,0.843786653272176,0.848239647271305,0.771779162648851
t,0.794930524992286,0.78180463723138,0.777331106971876,0.771954692650147,0.777964827539432,0.773959496699343,0.785162222760317,0.815129000851706,0.784559393582487,0.781036138314336,0.762838430342517,1.0,0.758410985149198,0.798484857443207,0.776573802101325,0.803607752207595,0.790788734731466,0.780777755342464,0.766396855958424,0.784617016335082,0.752789508403261,0.77238899831548,0.74193761282835,0.794397481073545,0.789164436028191,0.773530554377463,0.770983255614746,0.859610428061071,0.873970039921115,0.785059897419127,0.815123784620517,0.877349658520863,0.886071537873633,0.791277957318399
tʲ,0.774984933369142,0.730424379833343,0.748332906260328,0.747531186584427,0.7684706602703,0.751488587057218,0.745551401559329,0.797881941427007,0.772080643095072,0.757796508939569,0.753050775259664,0.758410985149198,1.0,0.77903484902502,0.773432189324932,0.74821639742821,0.778161531137188,0.741390921524678,0.76459136927375,0.761345931820749,0.748461648149138,0.736439805062914,0.757885961017721,0.757173163902097,0.785706534888339,0.772460746118321,0.764262972731076,0.835640486769035,0.830694777175361,0.770943052768328,0.784378731995449,0.850825388329448,0.850449931952031,0.755914672868124
d,0.763456365453132,0.769334627067397,0.75314722671262,0.75977502416136,0.775313389645979,0.756078660079338,0.750167852208193,0.762889378063036,0.755850523521164,0.77703507655971,0.744015820218322,0.798484857443207,0.77903484902502,1.0,0.77596659429748,0.779349836794659,0.763677675798529,0.728947263504772,0.767358058232192,0.753308205503534,0.746479290851461,0.734340260989911,0.754082071252403,0.786943095995058,0.778648220642338,0.77149436605746,0.764195823754391,0.844834639422611,0.853817709459628,0.775882391350506,0.761383917891024,0.856655726477756,0.858725847907043,0.769462408985366
dʲ,0.754047528811714,0.762080889368385,0.758849750149881,0.75360640361819,0.76212942320464,0.745360517696742,0.750013011395431,0.764981172930351,0.758008972120855,0.751665776026406,0.737506774973075,0.776573802101325,0.773432189324932,0.77596659429748,1.0,0.730295697610086,0.774519709309345,0.762119795160698,0.764558958688225,0.746214879290886,0.759310901228484,0.75695486272456,0.7551360931419,0.776441763972745,0.761076821512294,0.772937197520094,0.750261069229436,0.81824599135341,0.837520834081719,0.743620065752273,0.781510069166484,0.830706152666712,0.844165183905645,0.764463675925305
s,0.768473820228294,0.76430070193505,0.77225654096934,0.756493924799411,0.782294334293286,0.734620898667916,0.780543025541499,0.767031272343779,0.752461208435523,0.767016172692345,0.776671574129092,0.803607752207595,0.74821639742821,0.779349836794659,0.730295697610086,1.0,0.759823020287126,0.757092397448385,0.751017756303231,0.744648879511438,0.743010652584557,0.755819941884266,0.729569544529662,0.768850052631274,0.783372259330294,0.745690163169157,0.748981710216119,0.832547482930271,0.853709107869964,0.769353773392121,0.789633693988284,0.853382532219754,0.857074908004744,0.761380555197472
sʲ,0.784057496859169,0.758769288603057,0.760926938069812,0.756991420283767,0.760295476354208,0.774890079666337,0.755083830123075,0.82148601945927,0.767406203859476,0.770275231897883,0.759556187715717,0.790788734731466,0.778161531137188,0.763677675798529,0.774519709309345,0.759823020287126,1.0,0.761856590033966,0.7823736762291,0.758927926693658,0.765164046876403,0.740273633000231,0.766985765001596,0.772318938349559,0.789591901988224,0.752635968722193,0.746277262036662,0.852085180538395,0.863769463723078,0.767792591589344,0.781790838915197,0.851601221038519,0.856413214986774,0.77943498021069
n,0.754207394687485,0.753087409183578,0.736916431785551,0.749048924184914,0.753429709733822,0.736885084980008,0.759796439186107,0.759879447857592,0.740573698280333,0.757317968752676,0.741264751228479,0.780777755342464,0.741390921524678,0.728947263504772,0.762119795160698,0.757092397448385,0.761856590033966,1.0,0.756105829068801,0.774860101643859,0.753695747380833,0.758654338781404,0.737106494437774,0.74615866941562,0.747400317517507,0.763718490858606,0.746593933401541,0.817809771461276,0.824038186366956,0.736340398902532,0.751341601338866,0.832363516376959,0.836725996141495,0.748064977553099
nʲ,0.760284332490683,0.781237204679758,0.745030327776602,0.769902464351459,0.768215390272191,0.772121183539744,0.765184290847583,0.781947810080047,0.759711695034291,0.770468119054084,0.765258987670927,0.766396855958424,0.76459136927375,0.767358058232192,0.764558958688225,0.751017756303231,0.7823736762291,0.756105829068801,1.0,0.741072157546923,0.748895484351404,0.75142420392898,0.743603486467911,0.73960972719078,0.782771594382975,0.787622208822843,0.75807065820818,0.839656570285306,0.842967602510257,0.765543036272979,0.77879673216851,0.849848636544658,0.860285760881726,0.765436082456068
l,0.77302552394544,0.756645984798652,0.75802823200778,0.776406820314896,0.776252501344888,0.754959407048001,0.751934446732234,0.779743621050778,0.74642501886238,0.764466849301689,0.728573280605474,0.784617016335082,0.761345931820749,0.753308205503534,0.746214879290886,0.744648879511438,0.758927926693658,0.774860101643859,0.741072157546923,1.0,0.738161579424742,0.768169933057311,0.73984332048095,0.760265602723351,0.748202331870324,0.7758440173301,0.765704023488565,0.84314297088508,0.836855993858424,0.784162210230276,0.772161619191835,0.865845179133316,0.855157087002587,0.756513709742258
